First Name,Last Name,P1,L1,Q1,B1,Q2,P2,L2,B2,L3,Q3,B3,E1,E2,P3,Q4,L4,B4,L5,Q5,L6,Q6,P4,B5,E3,B6,E4,Q7,L7,B7,P5,Q8,L8,L9,Q9,P6,E5,E6,B8,Q10,L10,B9,Q11,B10,E7,E8
Amalia,Neiss,97,100,9.5,100,10,94,95,97.4,86,10,98.1,50,45,85,10,72,99.3,60,8,93,6.25,100,95.2,26,93.2,50,10,100,100,40,7,100,100,3,69,1,35,100,4,100,100,2.5,92,43,50
Shanda,Nicley,100,52,9.5,98.6,10,97,72,100,100,9,100,36,43,100,6,100,100,100,10,86,7.5,95,100,50,100,45,10,100,100,100,10,100,100,8,73,44,50,100,7,95,100,10,100,70,31
Harry,Sessions,100,100,10,100,10,100,95,100,97,9,100,42,50,85,6,100,100,100,10,79,8.75,100,100,38,100,36,10,100,100,96,10,100,100,10,100,44,50,100,10,100,100,10,54,75,75
Jeannine,Kleinman,100,,9.5,100,10,96,100,99.5,100,7,100,49,40,10,10,17,100,100,10,100,6.25,100,95.2,14,100,50,10,100,100,79,10,100,100,10,46,50,49,100,,70,100,7.5,0,75,63
Stacee,Andres,80,100,7.5,100,10,93,95,98.5,17,7,100,50,20,22,3,77,91.5,90,10,93,7.5,,93.9,26,78,50,,100,100,35,10,100,95,5,0,0,32,100,,100,100,3.75,0,50,75
Sherell,Calabrese,100,100,10,100,10,100,100,100,86,10,100,50,45,65,10,86,100,70,10,86,10,100,100,32,100,50,10,100,100,100,10,100,100,10,96,50,50,100,8,100,100,10,100,75,75
Karan,Bengtson,96,76,7,95.6,7,100,75,97.9,100,6,100,50,52,25,10,100,100,70,7,93,5,100,100,26,100,50,10,100,100,100,10,100,100,10,59,8,50,100,10,100,100,3.75,100,55,45
Merlin,Shuford,100,100,10,100,10,100,100,100,58,7.5,100,50,50,100,10,100,100,100,10,100,10,96,100,50,100,50,10,100,100,100,10,100,100,10,100,50,50,100,10,100,100,10,100,75,69
Bill,Fleckenstein,96,96,10,100,10,96,100,100,76,10,94.4,49,50,100,10,100,100,100,9,86,8.75,,100,32,100,50,10,70,100,76,10,100,100,10,92,50,30,100,10,100,100,10,100,70,69
Jonathan,Kisling,97,56,9.5,100,10,100,100,100,100,10,100,50,50,10,10,100,100,100,10,65,8.75,100,98.2,14,100,50,9.5,100,100,100,10,100,100,10,61,44,50,100,5,100,100,10,84,50,75
Valarie,Tewksbury,100,100,6.5,100,10,100,90,100,86,5,100,50,50,96,10,40,99.3,80,9,100,6.25,85,100,26,100,38,9.5,100,100,90,5,100,100,5,78,44,35,100,2,50,100,7.5,100,75,57
